,anzsic06,Area,year,geo_count,ec_count
547502,A,A102200,2019,90,110
547503,A,A102300,2019,78,65
547504,A,A102400,2019,42,30
547505,A,A102500,2019,30,60
547506,A,A102600,2019,87,220
547507,A,A102700,2019,42,25
547508,A,A102800,2019,18,190
547509,A,A102900,2019,42,6
547510,A,A103000,2019,24,25
547511,A,A103100,2019,54,95
547512,A,A103200,2019,72,50
547513,A,A103300,2019,57,30
547514,A,A103400,2019,60,60
547515,A,A103500,2019,21,35
547516,A,A103600,2019,57,18
547517,A,A103700,2019,9,21
547518,A,A103800,2019,6,12
547519,A,A103900,2019,3,0
547520,A,A104000,2019,30,50
547521,A,A104100,2019,63,25
547522,A,A104200,2019,9,21
547523,A,A104300,2019,9,0
547524,A,A104400,2019,15,6
547525,A,A104500,2019,3,3
547526,A,A104600,2019,9,0
547527,A,A104700,2019,84,60
547528,A,A104800,2019,192,220
547529,A,A104900,2019,162,140
547530,A,A105100,2019,120,100
547531,A,A105200,2019,3,0
547532,A,A105300,2019,72,90
547533,A,A105400,2019,315,290
547534,A,A105500,2019,12,21
547535,A,A105600,2019,42,35
547536,A,A105700,2019,42,12
547537,A,A105800,2019,0,0
547538,A,A105900,2019,6,0
547539,A,A106000,2019,6,0
547540,A,A106100,2019,9,0
547541,A,A106200,2019,3,0
547542,A,A106300,2019,45,50
547543,A,A106500,2019,9,15
547544,A,A106600,2019,21,12
547545,A,A106700,2019,45,18
547546,A,A106800,2019,6,0
547547,A,A106900,2019,9,9
547548,A,A107000,2019,0,0
547549,A,A107100,2019,39,120
547550,A,A107200,2019,6,0
547551,A,A107300,2019,3,0
547552,A,A107400,2019,3,0
547553,A,A107500,2019,6,6
547554,A,A107600,2019,3,0
547555,A,A107700,2019,27,75
547556,A,A107800,2019,186,120
547557,A,A107900,2019,6,65
547558,A,A108000,2019,69,35
547559,A,A108100,2019,6,0
547560,A,A108200,2019,3,0
547561,A,A108300,2019,3,9
547562,A,A108500,2019,36,45
547563,A,A108600,2019,129,80
547564,A,A108700,2019,12,3
547565,A,A108800,2019,15,9
547566,A,A108900,2019,21,30
547567,A,A109000,2019,81,35
547568,A,A109100,2019,318,500
547569,A,A109200,2019,255,320
547570,A,A109300,2019,48,260
547571,A,A109400,2019,264,220
547572,A,A109500,2019,129,80
547573,A,A109600,2019,27,15
547574,A,A109700,2019,111,110
547575,A,A109800,2019,90,50
547576,A,A109900,2019,6,0
547577,A,A110100,2019,3,0
547578,A,A110200,2019,120,90
547579,A,A110400,2019,240,150
547580,A,A110500,2019,12,6
547581,A,A110700,2019,129,190
547582,A,A110800,2019,126,95
547583,A,A110900,2019,54,35
547584,A,A111100,2019,15,12
547585,A,A111200,2019,138,180
547586,A,A111300,2019,18,6
547587,A,A111400,2019,24,21
547588,A,A111500,2019,54,80
547589,A,A111600,2019,78,12
547590,A,A111700,2019,9,3
547591,A,A111800,2019,9,9
547592,A,A111900,2019,12,6
547593,A,A112100,2019,51,21
547594,A,A112200,2019,3,0
547595,A,A112300,2019,45,12
547596,A,A112400,2019,6,6
547597,A,A112500,2019,36,20
547598,A,A112600,2019,51,25
547599,A,A112800,2019,6,6
547600,A,A112900,2019,0,0
547601,A,A113000,2019,3,0
547602,A,A113200,2019,36,30
547603,A,A113300,2019,3,0
547604,A,A113400,2019,27,15
547605,A,A113500,2019,30,25
547606,A,A113600,2019,3,0
547607,A,A113700,2019,0,0
547608,A,A113800,2019,3,0
547609,A,A113900,2019,6,6
547610,A,A114000,2019,3,0
547611,A,A114100,2019,6,3
547612,A,A114200,2019,18,50
547613,A,A114300,2019,9,6
547614,A,A114400,2019,6,0
547615,A,A114500,2019,0,0
547616,A,A114700,2019,54,35
547617,A,A114800,2019,9,25
547618,A,A114900,2019,6,0
547619,A,A115000,2019,9,12
547620,A,A115300,2019,21,6
547621,A,A115400,2019,6,0
547622,A,A115500,2019,18,0
547623,A,A115600,2019,9,9
547624,A,A115700,2019,0,0
547625,A,A115800,2019,6,3
547626,A,A115900,2019,0,0
547627,A,A116100,2019,42,190
547628,A,A116200,2019,3,0
547629,A,A116300,2019,12,15
547630,A,A116400,2019,45,15
547631,A,A116500,2019,3,0
547632,A,A116600,2019,6,0
547633,A,A116700,2019,3,0
547634,A,A116800,2019,3,3
547635,A,A117000,2019,51,120
547636,A,A117100,2019,12,9
547637,A,A117200,2019,0,0
547638,A,A117300,2019,6,0
547639,A,A117400,2019,0,0
547640,A,A117500,2019,0,0
547641,A,A117600,2019,3,0
547642,A,A117800,2019,3,0
547643,A,A117900,2019,0,0
547644,A,A118000,2019,9,30
547645,A,A118100,2019,0,0
547646,A,A118200,2019,3,0
547647,A,A118400,2019,3,0
547648,A,A118600,2019,6,25
547649,A,A118800,2019,3,30
547650,A,A118900,2019,3,0
547651,A,A119000,2019,3,0
547652,A,A119400,2019,3,0
547653,A,A119600,2019,3,0
547654,A,A119800,2019,0,3
547655,A,A120000,2019,0,3
547656,A,A120100,2019,9,80
547657,A,A120200,2019,6,15
547658,A,A120300,2019,3,0
547659,A,A120500,2019,3,0
547660,A,A120700,2019,3,9
547661,A,A120800,2019,0,0
547662,A,A120900,2019,0,0
547663,A,A121000,2019,0,0
547664,A,A121100,2019,6,0
547665,A,A121300,2019,0,0
547666,A,A121500,2019,3,0
547667,A,A121600,2019,3,0
547668,A,A121900,2019,0,3
547669,A,A122000,2019,3,0
547670,A,A122200,2019,3,0
547671,A,A122300,2019,3,0
547672,A,A122500,2019,3,0
547673,A,A122700,2019,0,3
547674,A,A122900,2019,3,0
547675,A,A123000,2019,0,0
547676,A,A123100,2019,0,0
547677,A,A123200,2019,3,0
547678,A,A123500,2019,6,9
547679,A,A123600,2019,0,0
547680,A,A123700,2019,3,0
547681,A,A123800,2019,0,0
547682,A,A123900,2019,3,0
547683,A,A124100,2019,0,0
547684,A,A124200,2019,0,0
547685,A,A124300,2019,0,0
547686,A,A124600,2019,0,0
547687,A,A124700,2019,6,70
547688,A,A124800,2019,0,0
547689,A,A124900,2019,3,0
547690,A,A125100,2019,0,0
547691,A,A125200,2019,0,0
547692,A,A125300,2019,3,0
547693,A,A125600,2019,3,0
547694,A,A125800,2019,3,0
547695,A,A125900,2019,0,0
547696,A,A126000,2019,3,9
547697,A,A126100,2019,0,0
547698,A,A126300,2019,3,0
547699,A,A126600,2019,3,0
547700,A,A126700,2019,3,3
547701,A,A126800,2019,6,3
547702,A,A126900,2019,3,0
